rat,group,session,frac,n_trials,above
39,linear,17,0.55078125,256,5
39,linear,18,0.5602409638554217,332,5
39,linear,19,0.5396341463414634,328,5
40,exp10,17,0.22935779816513763,109,5
40,exp10,18,0.1,60,5
40,exp10,19,0.11764705882352941,34,5
41,exp20,17,0.31909547738693467,398,5
41,exp20,18,0.4163568773234201,269,5
41,exp20,19,0.39195979899497485,398,5
42,perc,17,0.5825545171339563,321,5
42,perc,18,0.5846153846153846,325,5
42,perc,19,0.5538922155688623,334,5
43,linear,17,0.29545454545454547,220,5
43,linear,18,0.17727272727272728,220,5
43,linear,19,0.09722222222222222,72,5
44,exp10,17,0.7916666666666666,240,5
44,exp10,18,0.8223140495867769,242,5
44,exp10,19,0.8319327731092437,238,5
45,exp20,17,0.2636103151862464,349,5
45,exp20,18,0.27419354838709675,124,5
45,exp20,19,0.29605263157894735,152,5
46,perc,17,0.42298850574712643,435,5
46,perc,18,0.4797297297297297,296,5
46,perc,19,0.49851632047477745,337,5
47,linear,17,0.18110236220472442,635,5
47,linear,18,0.19298245614035087,513,5
47,linear,19,0.12560386473429952,207,5
48,exp10,17,0.6472602739726028,292,5
48,exp10,18,0.698961937716263,289,5
48,exp10,19,0.6488294314381271,299,5
49,exp20,17,0.3793911007025761,427,5
49,exp20,18,0.4209354120267261,449,5
49,exp20,19,0.48044692737430167,358,5
50,perc,17,0.0536779324055666,503,5
50,perc,18,0.2309027777777778,576,5
50,perc,19,0.5565476190476191,336,5
