rat,group,session,trial,duration,iti,reinforced,criterion
52,5s,1,1,5.411999999999999,6.0760000000000005,0,10
52,5s,1,2,2.7759999999999962,5.254000000000005,0,10
52,5s,1,3,6.167999999999999,5.2479999999999976,0,10
52,5s,1,4,0.5399999999999991,0.12400000000000233,0,10
52,5s,1,5,10.694000000000003,0.17199999999999704,1,10
52,5s,1,6,0.3760000000000048,5.206000000000003,0,10
52,5s,1,7,9.629999999999995,6.543999999999997,0,10
52,5s,1,8,9.590000000000003,5.239999999999995,0,10
52,5s,1,9,10.805999999999997,3.265999999999991,1,10
52,5s,1,10,8.224000000000018,5.376000000000005,0,10
52,5s,1,11,0.25199999999998113,0.0700000000000216,0,10
52,5s,1,12,0.8620000000000232,0.04399999999998272,0,10
52,5s,1,13,0.5040000000000191,0.03999999999999204,0,10
52,5s,1,14,0.3599999999999852,5.4339999999999975,0,10
52,5s,1,15,11.558000000000021,4.921999999999997,1,10
52,5s,1,16,8.447999999999979,0.02200000000001978,0,10
52,5s,1,17,1.3940000000000055,0.020000000000010232,0,10
52,5s,1,18,10.245999999999981,4.0400000000000205,1,10
52,5s,1,19,9.931999999999988,5.240000000000009,0,10
52,5s,1,20,1.3979999999999961,0.025999999999982037,0,10
52,5s,1,21,0.4060000000000059,0.14599999999998658,0,10
52,5s,1,22,0.7040000000000077,0.060000000000002274,0,10
52,5s,1,23,10.328000000000003,3.5120000000000005,1,10
52,5s,1,24,10.288000000000011,4.220000000000027,1,10
52,5s,1,25,10.925999999999988,4.665999999999997,1,10
52,5s,1,26,9.199999999999989,5.625999999999976,0,10
52,5s,1,27,0.146000000000015,0.1260000000000332,0,10
52,5s,1,28,1.0480000000000018,5.685999999999979,0,10
52,5s,1,29,8.23599999999999,6.036000000000001,0,10
52,5s,1,30,10.960000000000036,3.3899999999999864,1,10
52,5s,1,31,9.69399999999996,5.2760000000000105,0,10
52,5s,1,32,11.608000000000004,5.449999999999989,1,10
52,5s,1,33,12.490000000000009,4.616000000000042,1,10
52,5s,1,34,8.189999999999998,5.239999999999952,0,10
52,5s,1,35,13.408000000000015,3.194000000000017,1,10
52,5s,1,36,13.084000000000003,3.7799999999999727,1,10
52,5s,1,37,11.362000000000023,5.551999999999964,1,10
52,5s,1,38,12.54400000000004,6.01400000000001,1,10
52,5s,1,39,9.461999999999989,6.927999999999997,0,10
52,5s,1,40,12.085999999999956,4.566000000000031,1,10
52,5s,1,41,10.858000000000061,4.295999999999935,1,10
52,5s,1,42,12.519999999999982,5.104000000000042,1,10
52,5s,1,43,10.025999999999954,5.509999999999991,1,10
52,5s,1,44,10.79600000000005,27.720000000000027,1,10
52,5s,1,45,9.823999999999955,6.274000000000001,0,10
52,5s,1,46,1.6680000000000064,0.13599999999996726,0,10
52,5s,1,47,10.111999999999966,4.48599999999999,1,10
52,5s,1,48,10.854000000000042,3.7199999999999136,1,10
52,5s,1,49,11.09800000000007,6.20799999999997,1,10
52,5s,1,50,10.067999999999984,3.5860000000000127,1,10
52,5s,1,51,0.70799999999997,0.11800000000005184,0,10
52,5s,1,52,9.417999999999893,5.366000000000099,0,10
52,5s,1,53,0.34199999999998454,5.473999999999933,0,10
52,5s,1,54,0.6200000000000045,6.382000000000062,0,10
52,5s,1,55,9.535999999999945,6.331999999999994,0,10
52,5s,1,56,9.86200000000008,6.545999999999935,0,10
52,5s,1,57,6.786000000000058,5.490000000000009,0,10
52,5s,1,58,9.293999999999983,6.357999999999947,0,10
52,5s,1,59,9.048000000000002,6.762000000000057,0,10
52,5s,1,60,0.4819999999999709,0.07600000000002183,0,10
52,5s,1,61,0.42999999999995,0.08800000000007913,0,10
52,5s,1,62,8.788000000000011,6.072000000000003,0,10
52,5s,1,63,0.9220000000000255,5.391999999999939,0,10
52,5s,1,64,8.016000000000076,5.5359999999999445,0,10
52,5s,1,65,9.402000000000044,5.977999999999952,0,10
52,5s,1,66,9.783999999999992,5.30600000000004,0,10
52,5s,1,67,0.33199999999999363,0.08400000000006003,0,10
52,5s,1,68,10.898000000000025,3.6900000000000546,1,10
52,5s,1,69,10.611999999999966,4.990000000000009,1,10
52,5s,1,70,1.0679999999999836,6.231999999999971,0,10
52,5s,1,71,13.096000000000004,3.966000000000008,1,10
52,5s,1,72,12.656000000000063,5.565999999999917,1,10
52,5s,1,73,10.85200000000009,3.697999999999979,1,10
52,5s,1,74,12.658000000000015,4.885999999999967,1,10
52,5s,1,75,10.210000000000036,6.339999999999918,1,10
52,5s,1,76,7.734000000000037,6.33400000000006,0,10
52,5s,1,77,12.629999999999995,7.019999999999982,1,10
52,5s,1,78,11.413999999999987,5.533999999999878,1,10
52,5s,1,79,11.378000000000156,4.677999999999884,1,10
52,5s,1,80,10.892000000000053,6.0779999999999745,1,10
52,5s,1,81,13.144000000000005,8.501999999999953,1,10
52,5s,1,82,10.314000000000078,7.286000000000058,1,10
52,5s,1,83,10.985999999999876,5.22199999999998,1,10
52,5s,1,84,11.93600000000015,6.313999999999851,1,10
52,5s,1,85,9.61200000000008,6.413999999999987,0,10
52,5s,1,86,10.097999999999956,5.296000000000049,1,10
52,5s,1,87,12.301999999999907,5.022000000000162,1,10
52,5s,1,88,10.975999999999885,5.298000000000002,1,10
52,5s,1,89,0.5,0.11400000000003274,0,10
52,5s,1,90,14.155999999999949,6.298000000000002,1,10
52,5s,1,91,9.910000000000082,5.326000000000022,0,10
52,5s,1,92,14.268000000000029,5.692000000000007,1,10
52,5s,1,93,13.019999999999982,5.953999999999951,1,10
52,5s,1,94,2.009999999999991,6.451999999999998,0,10
52,5s,1,95,12.680000000000064,5.509999999999991,1,10
52,5s,1,96,14.3599999999999,6.3659999999999854,1,10
52,5s,1,97,10.788000000000011,6.031999999999925,1,10
52,5s,1,98,9.759999999999991,0.08600000000001273,0,10
52,5s,1,99,10.419999999999845,6.704000000000178,1,10
52,5s,1,100,8.84199999999987,,0,10
52,5s,2,1,3.701999999999998,5.280000000000001,0,10
52,5s,2,2,9.700000000000003,5.293999999999997,0,10
52,5s,2,3,9.225999999999999,5.549999999999997,0,10
52,5s,2,4,0.416000000000011,5.227999999999994,0,10
52,5s,2,5,1.5520000000000067,0.09799999999999898,0,10
52,5s,2,6,9.350000000000009,5.421999999999997,0,10
52,5s,2,7,6.864000000000004,5.744,0,10
52,5s,2,8,0.945999999999998,6.2239999999999895,0,10
