rat,group,session,trial,duration,iti,reinforced,criterion
87,20s,1,1,8.835999999999999,0.0120000000000004,0,10.0
87,20s,1,3,2.264000000000003,20.726,0,10.0
87,20s,1,4,9.801999999999992,0.0300000000000011,0,10.0
87,20s,1,6,22.555999999999997,2.225999999999999,1,10.0
87,20s,1,7,1.391999999999996,0.0519999999999925,0,10.0
87,20s,1,9,9.388000000000003,0.0440000000000111,0,10.0
87,20s,1,11,0.4179999999999779,0.0620000000000118,0,10.0
87,20s,1,13,26.807999999999993,1.768000000000001,1,10.0
87,20s,1,14,10.018,1.406000000000006,1,10.0
87,20s,1,15,11.413999999999987,1.7200000000000273,1,10.0
87,20s,1,16,10.21999999999997,0.0699999999999931,1,10.0
87,20s,1,17,0.1420000000000527,21.251999999999953,0,10.0
87,20s,1,18,17.593999999999994,3.230000000000018,1,10.0
87,20s,1,19,0.0579999999999927,0.0400000000000204,0,10.0
87,20s,1,21,13.50400000000002,1.7860000000000014,1,10.0
87,20s,1,22,14.24200000000002,1.2419999999999618,1,10.0
87,20s,1,23,13.760000000000048,1.2639999999999532,1,10.0
87,20s,1,24,15.412000000000036,0.8519999999999754,1,10.0
87,20s,1,25,16.33000000000004,1.2959999999999925,1,10.0
87,20s,1,26,17.41999999999996,1.4879999999999995,1,10.0
87,20s,1,27,13.78000000000003,1.2579999999999814,1,10.0
87,20s,1,28,14.018000000000027,1.45799999999997,1,10.0
87,20s,1,29,14.98599999999999,1.150000000000034,1,10.0
87,20s,1,30,17.675999999999988,1.1020000000000325,1,10.0
87,20s,1,31,14.086000000000013,6.3659999999999854,1,10.0
87,20s,1,32,29.255999999999972,1.3640000000000327,1,10.0
87,20s,1,33,9.894000000000004,26.801999999999907,0,10.0
87,20s,1,34,15.772000000000048,2.08400000000006,1,10.0
87,20s,1,35,14.761999999999944,1.1399999999999864,1,10.0
87,20s,1,36,11.836000000000013,1.1900000000000546,1,10.0
87,20s,1,37,15.121999999999955,1.1580000000000157,1,10.0
87,20s,1,38,10.067999999999984,1.1219999999999573,1,10.0
87,20s,1,39,12.980000000000018,0.0480000000000018,1,10.0
87,20s,1,40,0.2680000000000291,20.966000000000008,0,10.0
87,20s,1,41,15.341999999999985,1.3439999999999372,1,10.0
87,20s,1,42,10.746000000000096,1.211999999999989,1,10.0
87,20s,1,43,11.413999999999987,1.552000000000021,1,10.0
87,20s,1,44,13.865999999999984,1.4220000000000257,1,10.0
87,20s,1,45,11.17599999999993,1.622000000000071,1,10.0
87,20s,1,46,12.111999999999966,1.3260000000000218,1,10.0
87,20s,1,47,9.563999999999965,0.1040000000000418,0,10.0
87,20s,1,49,13.632000000000062,1.2839999999999918,1,10.0
87,20s,1,50,21.271999999999935,1.4420000000000073,1,10.0
87,20s,1,51,13.60800000000006,1.3899999999999864,1,10.0
87,20s,1,52,15.548000000000002,1.3500000000000227,1,10.0
87,20s,1,53,15.149999999999975,1.22199999999998,1,10.0
87,20s,1,54,15.875999999999976,1.3559999999999943,1,10.0
87,20s,1,55,13.672000000000024,1.3799999999999957,1,10.0
87,20s,1,56,0.0539999999999736,0.1000000000000227,0,10.0
87,20s,1,58,0.0879999999999654,0.0380000000000109,0,10.0
87,20s,1,60,17.43399999999997,1.3600000000000136,1,10.0
87,20s,1,61,16.65199999999993,0.0439999999999827,1,10.0
87,20s,1,62,0.3980000000000245,20.702,0,10.0
87,20s,1,63,14.63000000000011,1.7439999999999145,1,10.0
87,20s,1,64,17.798000000000002,2.3320000000001073,1,10.0
87,20s,1,65,15.493999999999916,1.2860000000000582,1,10.0
87,20s,1,66,15.153999999999996,1.0639999999998508,1,10.0
87,20s,1,67,18.52800000000002,1.4039999999999964,1,10.0
87,20s,1,68,22.81200000000013,1.2419999999999618,1,10.0
87,20s,1,69,11.95399999999995,1.3579999999999472,1,10.0
87,20s,1,70,14.172000000000024,2.1240000000000236,1,10.0
87,20s,1,71,17.067999999999984,1.4519999999999982,1,10.0
87,20s,1,72,15.347999999999956,1.8759999999999764,1,10.0
87,20s,1,73,9.938000000000102,20.774000000000115,0,10.0
87,20s,1,74,11.835999999999784,1.7280000000000657,1,10.0
87,20s,1,75,14.110000000000127,1.4839999999999236,1,10.0
87,20s,1,76,12.8900000000001,1.8679999999999384,1,10.0
87,20s,1,77,11.039999999999964,2.5319999999999254,1,10.0
87,20s,1,78,11.708000000000084,1.83199999999988,1,10.0
87,20s,1,79,13.774000000000116,1.6539999999999964,1,10.0
87,20s,1,80,12.071999999999887,1.4420000000000073,1,10.0
87,20s,1,81,11.674000000000206,1.4559999999999036,1,10.0
87,20s,1,82,12.27800000000002,2.2819999999999254,1,10.0
87,20s,1,83,8.761999999999944,22.10400000000004,0,10.0
87,20s,1,84,7.448000000000093,20.319999999999936,0,10.0
87,20s,1,85,13.685999999999922,1.5920000000000982,1,10.0
87,20s,1,86,15.45399999999995,0.0360000000000582,1,10.0
87,20s,1,87,0.0820000000001073,1.1879999999998745,0,10.0
87,20s,1,88,13.107999999999947,1.3379999999999654,1,10.0
87,20s,1,89,14.605999999999996,1.8580000000001744,1,10.0
87,20s,1,90,18.819999999999936,1.5640000000000782,1,10.0
87,20s,1,91,14.577999999999976,1.561999999999898,1,10.0
87,20s,1,92,18.932000000000016,1.27800000000002,1,10.0
87,20s,1,93,17.615999999999985,1.7360000000001037,1,10.0
87,20s,1,94,21.20999999999981,1.6520000000000437,1,10.0
87,20s,1,95,12.624000000000024,1.7480000000000473,1,10.0
87,20s,1,96,15.64799999999991,1.3940000000000057,1,10.0
87,20s,1,97,16.236000000000104,1.5779999999999743,1,10.0
87,20s,1,98,17.25,1.3520000000000891,1,10.0
87,20s,1,99,16.597999999999956,1.6040000000000418,1,10.0
87,20s,1,100,13.3599999999999,1.5620000000001255,1,10.0
87,20s,1,101,20.559999999999945,1.3659999999999854,1,10.0
87,20s,1,102,15.720000000000027,1.759999999999991,1,10.0
87,20s,1,103,21.64599999999996,1.3859999999999673,1,10.0
87,20s,1,104,17.299999999999955,1.7019999999999982,1,10.0
87,20s,1,105,19.88000000000011,1.695999999999913,1,10.0
87,20s,1,106,25.180000000000064,1.7739999999998872,1,10.0
87,20s,1,107,18.080000000000155,1.711999999999989,1,10.0
87,20s,1,108,19.412000000000035,1.505999999999858,1,10.0
87,20s,1,109,6.888000000000147,0.1179999999999381,0,10.0
87,20s,1,111,15.54600000000005,,1,10.0
87,20s,2,1,4.380000000000003,0.0320000000000035,0,10.0
87,20s,2,3,1.5720000000000027,20.22799999999999,0,10.0
87,20s,2,4,0.0660000000000025,0.0060000000000002,0,10.0
87,20s,2,5,0.0879999999999938,0.0660000000000025,0,10.0
87,20s,2,7,0.2479999999999904,0.1300000000000096,0,10.0
87,20s,2,9,1.3859999999999957,21.572000000000017,0,10.0
87,20s,2,10,2.4979999999999905,21.614000000000004,0,10.0
87,20s,2,11,6.018000000000001,24.126000000000005,0,10.0
87,20s,2,12,0.3100000000000023,0.0499999999999829,0,10.0
87,20s,2,14,7.926000000000016,24.79600000000002,0,10.0
87,20s,2,15,6.131999999999948,0.0060000000000286,0,10.0
87,20s,2,16,0.2339999999999804,21.196000000000023,0,10.0
87,20s,2,17,1.288000000000011,0.0699999999999931,0,10.0
87,20s,2,19,0.3199999999999932,0.0899999999999749,0,10.0
87,20s,2,21,1.3620000000000232,20.255999999999972,0,10.0
87,20s,2,22,0.1040000000000418,0.0699999999999931,0,10.0
87,20s,2,24,25.853999999999985,3.463999999999998,1,10.0
87,20s,2,25,22.52600000000001,2.6960000000000264,1,10.0
87,20s,2,26,14.937999999999988,1.2860000000000014,1,10.0
87,20s,2,27,12.899999999999975,1.3900000000000432,1,10.0
87,20s,2,28,15.003999999999962,1.3740000000000236,1,10.0
87,20s,2,29,16.94399999999996,1.740000000000009,1,10.0
87,20s,2,30,12.268000000000027,1.170000000000016,1,10.0
87,20s,2,31,11.007999999999925,1.438000000000102,1,10.0
87,20s,2,32,11.261999999999944,1.2759999999999536,1,10.0
87,20s,2,33,8.198000000000093,0.1099999999998999,0,10.0
87,20s,2,35,19.8660000000001,2.437999999999988,1,10.0
87,20s,2,36,16.50999999999999,2.0799999999999272,1,10.0
87,20s,2,37,13.009999999999993,1.828000000000088,1,10.0
87,20s,2,38,15.367999999999938,1.5299999999999727,1,10.0
87,20s,2,39,17.068000000000097,1.4359999999999218,1,10.0
87,20s,2,40,18.466000000000008,2.036000000000058,1,10.0
87,20s,2,41,14.339999999999918,1.5500000000000682,1,10.0
87,20s,2,42,14.696000000000026,1.2059999999999036,1,10.0
87,20s,2,43,15.88600000000008,1.5119999999999436,1,10.0
87,20s,2,44,21.374000000000024,1.3079999999999927,1,10.0
87,20s,2,45,18.529999999999973,1.54200000000003,1,10.0
87,20s,2,46,22.625999999999976,1.886000000000081,1,10.0
87,20s,2,47,14.798000000000002,2.183999999999969,1,10.0
87,20s,2,48,19.172000000000025,1.6459999999999582,1,10.0
87,20s,2,49,17.751999999999953,1.2420000000000757,1,10.0
87,20s,2,50,15.713999999999942,1.6140000000000327,1,10.0
87,20s,2,51,18.908000000000015,1.641999999999939,1,10.0
87,20s,2,52,18.63600000000008,1.69399999999996,1,10.0
87,20s,2,53,24.460000000000036,1.76400000000001,1,10.0
87,20s,2,54,0.1499999999999772,0.02800000000002,0,10.0
87,20s,2,56,27.83000000000004,0.0520000000000209,1,10.0
87,20s,2,57,0.0960000000000036,27.755999999999972,0,10.0
87,20s,2,58,29.680000000000064,1.849999999999909,1,10.0
87,20s,2,59,2.880000000000109,20.235999999999876,0,10.0
87,20s,2,60,10.251999999999953,2.258000000000038,1,10.0
87,20s,2,61,21.076000000000025,1.5879999999999654,1,10.0
87,20s,2,62,20.71199999999999,1.8520000000000891,1,10.0
87,20s,2,63,22.87799999999993,2.122000000000071,1,10.0
